date,link,location
2025-05-11,https://www.cricbuzz.com/live-cricket-scores/115365/pbks-vs-mi-61st-match-indian-premier-league-2025,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
2025-05-11,https://www.cricbuzz.com/live-cricket-scores/115372/dc-vs-gt-62nd-match-indian-premier-league-2025,"Arun Jaitley Stadium, Delhi"
2025-05-12,https://www.cricbuzz.com/live-cricket-scores/115381/csk-vs-rr-63rd-match-indian-premier-league-2025,"MA Chidambaram Stadium, Chennai"
2025-05-13,https://www.cricbuzz.com/live-cricket-scores/115390/rcb-vs-srh-64th-match-indian-premier-league-2025,"M.Chinnaswamy Stadium, Bengaluru"
2025-05-14,https://www.cricbuzz.com/live-cricket-scores/115392/gt-vs-lsg-65th-match-indian-premier-league-2025,"Narendra Modi Stadium, Ahmedabad"
2025-05-15,https://www.cricbuzz.com/live-cricket-scores/115401/mi-vs-dc-66th-match-indian-premier-league-2025,"Wankhede Stadium, Mumbai"
2025-05-16,https://www.cricbuzz.com/live-cricket-scores/115410/rr-vs-pbks-67th-match-indian-premier-league-2025,"Sawai Mansingh Stadium, Jaipur"
2025-05-17,https://www.cricbuzz.com/live-cricket-scores/115417/rcb-vs-kkr-68th-match-indian-premier-league-2025,"M.Chinnaswamy Stadium, Bengaluru"
2025-05-18,https://www.cricbuzz.com/live-cricket-scores/115426/gt-vs-csk-69th-match-indian-premier-league-2025,"Narendra Modi Stadium, Ahmedabad"
2025-05-18,https://www.cricbuzz.com/live-cricket-scores/115435/lsg-vs-srh-70th-match-indian-premier-league-2025,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
